ID,Name,Cost_for_one,Cuisines,Rating
23,Meghana Foods,200, North Indian,4.2
23,Meghana Foods,200, Seafood,4.2
24,Onesta,200,Pizza,3.6
24,Onesta,200, Pasta,3.6
24,Onesta,200, Fast Food,3.6
24,Onesta,200, Sandwich,3.6
24,Onesta,200, Beverages,3.6
24,Onesta,200, Desserts,3.6
25,Al-Bek,200,Mughlai,4
25,Al-Bek,200, Arabian,4
25,Al-Bek,200, North Indian,4
25,Al-Bek,200, Chinese,4
25,Al-Bek,200, Seafood,4
26,Polar Bear,200,Ice Cream,4.3
26,Polar Bear,200, Beverages,4.3
26,Polar Bear,200, Shake,4.3
27,Nandhana Palace,200,Biryani,4
27,Nandhana Palace,200, Andhra,4
27,Nandhana Palace,200, North Indian,4
27,Nandhana Palace,200, Chinese,4
27,Nandhana Palace,200, Mughlai,4
27,Nandhana Palace,200, South Indian,4
27,Nandhana Palace,200, Desserts,4
27,Nandhana Palace,200, Beverages,4
28,Corner House Ice Creams,200,Ice Cream,4.5
28,Corner House Ice Creams,200, Desserts,4.5
28,Corner House Ice Creams,200, Shake,4.5
29,Goli Vada Pav No. 1,200,Street Food,4.1
29,Goli Vada Pav No. 1,200, Burger,4.1
29,Goli Vada Pav No. 1,200, Fast Food,4.1
29,Goli Vada Pav No. 1,200, Ice Cream,4.1
30,CakeZone,200,Bakery,4.1
30,CakeZone,200, Ice Cream,4.1
31,La Pino'z Pizza,200,Pizza,3.8
31,La Pino'z Pizza,200, Italian,3.8
32,Anand Sweets And Savouries,200,Mithai,4.3
32,Anand Sweets And Savouries,200, Street Food,4.3
32,Anand Sweets And Savouries,200, Beverages,4.3
32,Anand Sweets And Savouries,200, Desserts,4.3
33,Faasos - Wraps & Rolls,150,Rolls,4
33,Faasos - Wraps & Rolls,150, Wraps,4
33,Faasos - Wraps & Rolls,150, Fast Food,4
34,Ovenstory Pizza,150,Pizza,4
34,Ovenstory Pizza,150, Fast Food,4
35,Wendy's,150,Burger,3.7
35,Wendy's,150, Fast Food,3.7
35,Wendy's,150, American,3.7
36,EasyBites by Empire,150,Burger,3.7
36,EasyBites by Empire,150, Fast Food,3.7
36,EasyBites by Empire,150, Beverages,3.7
37,EatFit,150,Healthy Food,4.1
37,EatFit,150, North Indian,4.1
37,EatFit,150, Pizza,4.1
37,EatFit,150, Burger,4.1
37,EatFit,150, Pasta,4.1
37,EatFit,150, Biryani,4.1
37,EatFit,150, Chinese,4.1
37,EatFit,150, Beverages,4.1
38,Kwalitywall's Frozen Dessert And Ice Cream Shop,150,Ice Cream,4.6
38,Kwalitywall's Frozen Dessert And Ice Cream Shop,150, Desserts,4.6
39,California Burrito,150,Mexican,4.1
39,California Burrito,150, Fast Food,4.1
39,California Burrito,150, Beverages,4.1
40,Natural Ice Cream,150,Ice Cream,4.5
40,Natural Ice Cream,150, Beverages,4.5
41,Chai Point,150,Tea,4.1
41,Chai Point,150, Beverages,4.1
41,Chai Point,150, Shake,4.1
41,Chai Point,150, Fast Food,4.1
41,Chai Point,150, Rolls,4.1
41,Chai Point,150, Desserts,4.1
41,Chai Point,150, Coffee,4.1
42,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",150,Beverages,4.1
42,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",150, Desserts,4.1
42,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",150, Ice Cream,4.1
42,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",150, Waffle,4.1
42,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",150, Bakery,4.1
