ID,Name,Location,Dining_Review,Delivery_Reviews
557,Rolls On Wheels,Basavanagudi,119,2407
558,T’s 21 Spice Biryani,Cunningham Road,0,776
559,Hyderabad Biryaani House,Richmond Road,50,5562
560,Kapoor's Cafe,Rajajinagar,141,1417
561,Aromas Of Biryani,Jayanagar,77,644
562,Mainland China,Church Street,2360,793
563,NH8,Indiranagar,3403,2317
564,New Punjabi Hotel,Indiranagar,169,4066
565,Chikpet Donne Biriyani House,Seshadripuram,6,828
566,SGS Non Veg - Gundu Pulav,City Market,242,3433
567,Hotel Navayuga,Majestic,281,3161
568,Haka,Church Street,0,363
569,Chung Wah,Residency Road,353,3941
570,Basaveshwar Khanavali,Malleshwaram,16,898
571,Asia Kitchen By Mainland China,Church Street,6,134
572,Hotel Prashanth,JP Nagar,41,732
573,Uttara Karnataka Jolada Rotti Mattu Chapati Angadi,Seshadripuram,0,399
574,Gurukrupa Paratha House,Old Airport Road,327,19500
575,Burma Burma,Indiranagar,2969,1457
576,Maravanthe,Indiranagar,972,5813
577,Chianti,Indiranagar,5354,331
578,Karim's Delhi 6,St. Marks Road,55,675
579,Punjabi Pure Veg Restaurant Since 1994,Majestic,38,753
580,The Grill & Cheese Cafe,Frazer Town,31,467
581,BIB - Breakfast In The Box,BTM,0,873
582,Anupam's Coast II Coast,Koramangala 6th Block,980,1047
583,Paratha Plaza,Indiranagar,271,1560
584,Karavali Kolimane,Wilson Garden,64,919
585,Dal Roti Sabji,Indiranagar,182,4901
586,Bheema's,Church Street,871,974
587,Hotel Select,Shanti Nagar,4,20
588,Phobidden Fruit,Indiranagar,3241,557
589,The Fatty Bao,Indiranagar,4391,4548
590,China Bistro,Indiranagar,1331,1088
591,Karavali Lunch Home,Malleshwaram,176,7174
592,Bangalore Mandarin,Indiranagar,1095,3367
593,Wow Chow,Church Street,0,0
594,Nagashree's,Shanti Nagar,58,8
595,Chikkanna Tiffin Room,Ulsoor,0,47
596,Fishland,Majestic,360,301
597,Coastal Machali Co.,Residency Road,250,313
598,Dakshin,Wilson Garden,97,862
599,N.S Grills And Kabab Corner,Shivajinagar,0,3
600,Baisakhi,Basavanagudi,489,3835
601,21st Amendment Gastrobar,Indiranagar,2501,6
602,Salt Mango Tree,Indiranagar,390,1347
603,Raaga,Indiranagar,317,1016
604,Veg Brooo - Chinese,Indiranagar,0,70
605,Al Noor,Shivajinagar,61,415
606,World On A Plate - Citrine Hotel,Citrine Hotel,165,157
607,Basaveshwar Khanavali,Majestic,3,48
608,Pulimunchi,Sadashiv Nagar,584,604
609,Butter Delivery,Lavelle Road,0,74
610,The Konkan - Seafood Restaurant,St. Marks Road,288,95
611,Pahilwani Handi,Shivajinagar,50,16
612,Chung Wah Express,Indiranagar,101,1077
613,Mangalore Pearl - Seafood Restaurant,Ulsoor,235,813
614,Bombay Brasserie,Indiranagar,2441,636
615,Hotel Chandru - Nimma Mane Oota,Seshadripuram,2,25
616,Chapathi Box,Koramangala 8th Block,0,0
617,G.H.S Nonveg,City Market,6,8
618,Apple Villa Restaurant,Shanti Nagar,1,6
619,Hokart - Bangalore 99 Variety Dosa,Commercial Street,0,1
620,Hokart - Darjeeling Momos,Koramangala 4th Block,0,14
621,Holige Mane,Wilson Garden,0,18
622,Aioli BBQ And Grill,Cunningham Road,14,4
623,Mumbai 99 Variety Dosa Special,Brigade Road,0,0
624,Nammura Taaja Upahara,Basavanagudi,1,3
625,Brown Burger Co,Yeshwantpur,1,1
626,Ying Zheng China,Wilson Garden,0,80
627,Euphoria Bakers,Frazer Town,0,12
628,The Adukkala Restaurant,Brigade Road,68,1002
629,Yama Shiro,Residency Road,16,3
630,Chaat Paavlian,MG Road,0,122
631,JIANG Pure Veg,MG Road,0,46
632,The Gourmet Kitchen & Bar- Hotel Ramanashree,Hotel Ramanashree,225,41
633,Kudla - Hotel Ramanashree,Hotel Ramanashree,422,142
634,Dvg Biryani And Kabab Center,City Market,0,1
635,The Sandwich Bite,Vasanth Nagar,0,2
636,Cafe Igniite,Brigade Road,0,4
637,Simply Veg,Basavanagudi,164,52
638,New Dillibite,Ulsoor,0,20
639,Clay Resto,Majestic,1,0
640,Dinesh Food Corner,Ejipura,0,0
641,Yohan Kitchen,Ejipura,0,8
642,Latitude - Tulip Inn,Seshadripuram,51,0
643,Hotel New Prashanth Naati Shyli,Majestic,0,18
644,Samruddi Nonveg,City Market,0,2
645,Randhan - A - Bandhan,Wilson Garden,0,366
646,Amudham Biryani,Wilson Garden,0,0
647,Green Kitchen Palace,City Market,0,4
