ID,Name,Location,Dining_Review,Delivery_Reviews
127,Just Shawarma,Indiranagar,0,598
128,Momo Zone - The Momo Company,Indiranagar,0,249
129,Sreeraj Lassi Bar,Race Course Road,51,505
130,Sweet Truth - Cake and Desserts,Shanti Nagar,0,43
131,The Good Bowl,Shanti Nagar,0,172
132,Upahara Darshini,Jayanagar,432,8738
133,SLAY Coffee,Basavanagudi,0,1092
134,Sri Venkateshwara Sweet Meat Stall,Jayanagar,218,226
135,The Cake Deluxe,Basavanagudi,0,29
136,The Thick Shake Factory,Indiranagar,0,479
137,Bake and Juice,Hosur Road,84,14400
138,Ghee And Turmeric,Koramangala 4th Block,0,957
139,Melting Cheese,Basavanagudi,55,2869
140,Gopaljee Cafe,Koramangala 7th Block,67,1298
141,Bucket Biryani,Banaswadi,0,1353
142,Rooftop Cafe,Jayanagar,920,1257
143,Toscano,UB City,2072,810
144,Mealful Rolls - India's Biggest Rolls,Langford Town,0,44
145,ZAZA 22 Spice Awadhi Biryani,Shanti Nagar,0,37
146,Apsara Ice Creams,Koramangala 5th Block,283,565
147,Brew Cafe,BTM,2,484
148,Bhartiya Jalpan,Indiranagar,1663,7007
149,Belgian Waffle Factory,Indiranagar,202,744
150,Kunafa World,Koramangala 8th Block,0,1641
151,Magnolia Bakery,Indiranagar,885,4467
152,Indiana Burgers,Indiranagar,0,4261
153,Daily Sushi,Church Street,52,49
154,Empire Juices and Desserts,Church Street,0,201
155,Firangi Bake,Shanti Nagar,0,47
156,KC Das,St. Marks Road,395,963
157,Rolls Kitchen,Langford Town,5,2784
158,Swiss Cream,Shanti Nagar,9,582
159,LeanCrust Pizza- ThinCrust Experts,Langford Town,0,26
160,Kulfi Shulfi- Kulfis and Ice Cream,Wilson Garden,0,164
161,Brik Oven,Church Street,2837,934
162,Sweet Chariot,Brigade Road,0,34
163,Hotel Fanoos,Richmond Road,847,3302
164,FB Café By Frozen Bottle,Shivajinagar,0,12
165,Paris Panini - Gourmet Sandwiches,Indiranagar,281,2180
166,Jose Mess,BTM,417,5270
167,Khan Saheb Grills and Rolls,Indiranagar,1058,8265
168,UBQ By Barbeque Nation,Rajajinagar,0,4530
169,By 2 Coffee,Basavanagudi,56,4416
170,Ambur Hot Dum Biryani,BTM,27,232
171,The Cake Fancy,Basavanagudi,0,25
172,Pure Veg Meals by Lunchbox,Jayanagar,0,45
173,Pasta Street,Indiranagar,4896,2097
174,TrueCakes,Domlur,0,47
175,ITC Master Chef Creations,Koramangala 7th Block,0,370
176,Friendly Neighbourhood Pizza - Man,Basavanagudi,20,93
177,XO Belgian Waffle,Building 105,785,11700
178,Cupcake Bliss Cakes & Desserts,Indiranagar,0,1739
179,The Biryani Life,Jayanagar,0,444
180,Chinese Square,Basavanagudi,93,7574
181,Donne Biryani Palace,Jayanagar,0,0
182,The Dessert Zone,Indiranagar,0,145
183,Just Cakes,Koramangala 7th Block,0,1332
184,Snack House,Jayanagar,0,30
185,The Momo Co.,Hosur Road,0,198
186,Chef Bakers,Koramangala 7th Block,10,73
187,Antarastriya,Basavanagudi,8,447
188,Auntie Fung's,Indiranagar,0,1506
189,Sreenivasa Brahmins Bakery,Basavanagudi,0,711
190,Habibi Falafel,Indiranagar,160,1450
191,Crusto’s - Cheese Burst Pizza,Koramangala 6th Block,0,18
192,New Shanthi Sagar,Basavanagudi,71,840
193,Gokul Veg,Basavanagudi,431,4265
194,Udupi Aatithya,Basavanagudi,5,1332
195,Singh Da Punjabi Dhaba,Koramangala 7th Block,0,1399
196,Zaatar,Old Madras Road,699,11200
197,Aligarh House by EatFit,Koramangala 6th Block,0,21400
198,Mumbai Xpress,Basavanagudi,13,1269
199,NOTO - Healthy Ice Cream,Indiranagar,0,96
200,Tomba Kitchens,Ejipura,79,1455
201,Adiga's,Indiranagar,352,5406
202,Momo Monk,Jayanagar,0,11
203,Lo! - Low Carb And Keto Foods,Domlur,0,725
204,Keventers Ice Cream,Koramangala 7th Block,0,170
205,Bombay Kulfi,Koramangala 6th Block,0,0
206,The Tasty Planet,Richmond Road,0,656
207,Vidyarthi Bhavan,Basavanagudi,5050,593
208,AB's - Absolute Barbecues,BTM,8084,1312
209,Nagarjuna Chimney,Jayanagar,1126,1823
210,IBC (Indian Biryani Company),Koramangala 5th Block,0,718
211,Mainland China,Koramangala 7th Block,0,464
212,Home Plate by EatFit,Koramangala 6th Block,0,101
213,Andhra Gunpowder,Seshadripuram,0,337
214,Burger Seigneur,St. Marks Road,184,1371
215,Maharaja Military Canteen,Cunningham Road,0,66
216,The Pastry House,Wilson Garden,0,773
217,Louis Burger,Lavelle Road,0,787
218,India Sweet House,Jayanagar,0,7
219,Boss Burger,Lavelle Road,0,293
220,BigBites,Jayanagar,0,8
221,Taste Of Tibet,Brigade Road,425,2142
222,Church Street Social,Church Street,8003,1183
223,Slay Coffee Bar,St. Marks Road,7,193
224,The Taj Hotel,City Market,14,839
225,Olio - The Wood Fired Pizzeria,Koramangala 6th Block,0,19
226,Sukh Sagar,Jayanagar,173,83
227,Tenzin Kitchen,Koramangala 7th Block,611,10600
228,Just Bake - Cakes & Confectioners,BTM,0,822
229,Kabab Biryani Corner,Richmond Road,39,1892
230,Taato Peero Momos,Koramangala 2nd Block,0,952
231,Eat N Drink,BTM,98,598
232,Shiv Sagar Signature,JP Nagar,153,1495
233,RollsKing,BTM,0,76
234,Twiststick House,Basavanagudi,200,3891
235,The Red Box,Indiranagar,0,3581
236,Hotel Revoli Inn,Shanti Nagar,65,1715
237,Sagar,Seshadripuram,271,7936
238,Chicken County Deluxe Restaurant,Majestic,81,1263
239,Richie Rich,Race Course Road,756,3825
240,Punjabi Dhaba,Majestic,98,656
241,Fabelle Chocolates - ITC Gardenia,ITC Gardenia,294,140
242,Itminaan Matka Biryani - Slow Cooked,Shanti Nagar,0,8
243,The Brooklyn Creamery - Healthy Ice Cream,Langford Town,0,0
244,Gandhinagar Donne Biriyani,Majestic,6,225
245,Sri Maruthi Gowda's Military Hotel,Majestic,3,601
246,Simpli Namdhari's,Brigade Road,0,38
247,Cookie Man,Garuda Mall,0,191
248,Plan B,Brigade Road,4646,185
249,FreshMenu,Indiranagar,0,30500
250,Bakingo,Vasanth Nagar,0,346
251,Chetty's Corner,Seshadripuram,2,2289
252,Kaapi Katte,Malleshwaram,3,129
253,Kailash Parbat,Commercial Street,0,93
254,Nomad Pizza - Traveller Series,Indiranagar,0,386
255,Sree Udupi Grand,Majestic,1,53
256,G 's Chinese Dragon,Seshadripuram,0,1416
257,Milano Ice Cream,Indiranagar,2593,2069
258,Lakeview Milkbar,MG Road,1698,899
259,Pai Vihar,City Market,56,1258
260,Rajhans,St. Marks Road,114,845
261,New Taj Darbar,Shivajinagar,64,5574
262,Hamza Hotel,Shivajinagar,308,3513
263,Dawat Durbar,Shivajinagar,0,444
264,Santhanam Sweets & Savouries,Commercial Street,0,957
265,RS Shiv Sagar,MG Road,344,691
266,Gullu's Chat,Seshadripuram,589,8057
267,Burger It Up,Vasanth Nagar,0,10
268,Chai Days,Koramangala 5th Block,51,1099
269,Big Bang Pizza,Kalyan Nagar,0,115
270,No Sugar Please!,Hosur Road,0,1744
271,The Bangalore Creamery,Indiranagar,0,1078
272,Mini Samrat Chalukya,Vasanth Nagar,18,1326
273,Art of Delight,Residency Road,2080,1013
274,Kouzina Kafe - The Food Court,Vasanth Nagar,0,27
275,Step Right Up,Vasanth Nagar,228,1159
276,Nirula's,Vasanth Nagar,0,14
277,Bhagathram Sweets,Commercial Street,271,1084
278,Yak's Kitchen,Shanti Nagar,204,523
279,1522 - The Pub,Residency Road,108,159
280,Smoke House Deli,Lavelle Road,3126,1985
281,Go Native,Lavelle Road,269,353
282,Bake N Bloom,Residency Road,0,44
283,Choi Choi Momos,Brigade Road,0,1898
284,Chikkanna Tiffin Room,City Market,267,593
285,Salt - Indian Restaurant Bar & Grill,UB City,65,53
286,HomeSe Just Veg,Majestic,0,880
287,Hotel Green Tara,Brigade Road,73,814
288,The Food Corner,Vasanth Nagar,15,512
289,Sri Udupi Grand,Shanti Nagar,24,860
290,Peppy Parathas & Rolls by Chai Point,Church Street,0,2
291,Hotel Shangrila,Brigade Road,137,306
292,Desi Vdesi,Church Street,199,710
293,Tunday Kababi,St. Marks Road,3,60
294,Pizza Stop,Lavelle Road,0,1000
295,HRX by EatFit,Cunningham Road,0,13
296,Hotel Chandrika,Cunningham Road,241,1509
297,Lavonne,Indiranagar,1666,504
298,Boba Tree,Indiranagar,39,397
299,SLV Corner Restaurant,153 Biere Street,471,11500
300,Rahhams,Kammanahalli,373,4696
301,Dum Safar Biryani,Rajajinagar,0,106
302,Malabar Bay,BTM,1708,9172
303,CupCake Noggins By CakeZone,Domlur,0,25
304,Carols Pastries & Bakers,HBR Layout,0,101
305,The Sip Shop,City Market,43,1108
306,Punjabi Unplugged,Koramangala 7th Block,109,3105
307,Rolls & Bowls Company,Hosur Road,0,33
308,Kartik's Mithai Shoppe,Indiranagar,135,219
309,Bangaliana,Koramangala 7th Block,449,2854
310,Little Italy,Indiranagar,3572,734
311,Chamarajpet Dose Corner,City Market,1,230
312,Hot Momos Darjeeling Style,Koramangala 5th Block,0,2952
313,Sendhoor Coffee,Indiranagar,171,2849
314,Juice Junction,Basavanagudi,58,1300
315,Rang De Basanti Dhaba,Domlur,0,1043
316,ITC Sunfeast Baked Creations,Koramangala 7th Block,0,182
317,Goila Butter Chicken,Koramangala 6th Block,0,121
318,Fiero! Pizzeria,Koramangala 6th Block,266,3012
319,Karnataka State Co-Operative Fisheries Federation Mysore,Jayanagar,0,990
320,Tiwari's Ghee Paratha And Chaats,Basavanagudi,3,566
321,Savoury - Sea Shell Restaurant,BTM,458,2294
322,No. 10 Fort Cochin,Indiranagar,20,149
323,ATH - All Things Healthy!,Domlur,0,406
324,Sri Krishna Sweets,Basavanagudi,35,101
325,Hatti Kaapi,Basavanagudi,29,869
326,Elixir - Luxury Pearls Drink,Koramangala 7th Block,5,251
327,Bangarapet Bhel House,Basavanagudi,0,293
328,Uttara Karnataka Jolada Rotti Mattu Chapati Angadi,Basavanagudi,21,1457
329,Fresh Bites,Indiranagar,0,838
330,Cheesecake & Co.,Koramangala 8th Block,0,350
331,Sagar Fast Food,Koramangala 8th Block,195,9216
332,OOttupura,BTM,22,2959
333,Taste Of Malabar,BTM,0,1676
334,Chai Mane,Basavanagudi,6,4398
335,Bengali Khabar,Old Airport Road,12,495
336,Chinese Daily,Indiranagar,0,1893
337,Karachi Bakery,Indiranagar,152,1717
338,KC Das,Jayanagar,0,236
339,Momo Hut,Koramangala 5th Block,760,1718
340,Piazza Pizza By Little Italy,Indiranagar,0,98
341,Thanco's Natural Ice Cream,Basavanagudi,71,293
342,The Salad Studio,Indiranagar,10,1281
343,B Track,Kammanahalli,9,218
344,Rosy Roti,Domlur,0,194
345,Prezzed Juicery,Old Airport Road,0,156
346,Raffaele's Ristorante Pizzeria,Koramangala 6th Block,162,2094
347,Nasi And Mee,Koramangala 4th Block,2889,1559
348,The Baklava Company,Koramangala 5th Block,0,136
349,Bonomi,Koramangala 7th Block,0,15
350,The Lassi Park,Jayanagar,205,727
351,Punjab Grill,Mantri Square,45,155
352,Hotel Sanman,Basavanagudi,13,2049
353,Restaurant 1179,Seshadripuram,0,159
354,Starboy Pizza & Shakes,Koramangala 7th Block,0,14
355,Chai Resto,Indiranagar,0,32
356,S M V Snacks Corner,Basavanagudi,0,386
357,Royal Treat,Koramangala 5th Block,489,5678
358,Le Gateau - The Cake Shop,Domlur,0,5009
359,Thalassery Cafe,BTM,19,366
360,Asia Kitchen By Mainland China,Koramangala 7th Block,0,2233
361,BLR Brewing Co.,JP Nagar,422,4
362,Bamey's Restro Cafe,Koramangala 5th Block,1192,4331
363,Saiko Sushi House,Thippasandra,0,18
364,Tamarind - Tamarind Hospitality,Tamarind Hospitality,614,6130
365,Maggi Mane,Majestic,15,427
366,Bowl Soul,Indiranagar,0,13
367,Falhari - A Fruitful Habit,Hosur Road,0,1115
368,Calcutta Famous Chats,Indiranagar,24,680
369,Suryawanshi,Indiranagar,587,3447
370,Khaomomo,Domlur,0,129
371,Sahana's - Since 1993,Wilson Garden,200,6548
372,Donne Biryani Adda,Indiranagar,0,175
373,Juicy City,Koramangala 5th Block,0,456
374,Bombay 2 Delhi,Indiranagar,0,25
375,Davanagere Benne Dose Manne,Basavanagudi,2,545
376,Green Cravings,Indiranagar,0,12
377,Kolkata Famous Kati Rolls,City Market,0,91
378,Abees Mess,BTM,5,299
379,Cheesecakes By CakeZone,Koramangala 6th Block,0,2
380,The Betel Leaf Co - Originally from Bangalore,Seshadripuram,0,507
381,Cravy Wings,Koramangala 7th Block,225,13000
382,Taiki,Jayanagar,0,795
383,Bowl 99,Indiranagar,0,58
384,Srinidhi Sagar Deluxe,Domlur,131,2258
385,Snacks Corner,Jeevan Bhima Nagar,0,743
386,Basco And Fry,Indiranagar,0,1858
387,Basaveshwar Khanavali,Domlur,0,25
388,City Durbar,Jayanagar,89,2888
389,Food Adda,Basavanagudi,83,580
390,Thottathil Food House,BTM,176,9621
391,Nando's,Koramangala 7th Block,0,938
392,WOW! China,Nexus,13,222
393,Blue Tokai Coffee Roasters,Koramangala 8th Block,295,760
394,Imli,Indiranagar,2160,1735
395,Amma's Pastries,Koramangala 7th Block,0,223
396,Jain & Veg Cuisines,Basavanagudi,0,285
397,Pizzaaj,Indiranagar,0,298
398,Buffalo Wild Wings,Indiranagar,613,574
399,Sree Ganesh Juice Center,Indiranagar,0,2097
400,Juice Shop,Koramangala 5th Block,0,4599
401,Appu's Donne Biryani,Koramangala 6th Block,11,388
402,Ocea Hotel,Brigade Road,290,2901
403,Burgerama,Indiranagar,0,154
404,Shaap,Indiranagar,292,1633
405,Tewari Bros Mithai Shoppie,Commercial Street,73,1311
406,Kabab Korner,St. Marks Road,228,968
407,Cafe Noir,UB City,2730,86
408,Zed The Baker,Church Street,125,246
409,MISU,St. Marks Road,2742,808
410,Priyadarshini Restaurant,Majestic,111,1088
411,Dolci Desserts,Cunningham Road,824,484
412,Shyam Mishra Juice Centre,Majestic,0,134
413,South Ruchis,Majestic,71,567
414,Atithi Satkaar,City Market,3,264
415,Gourmet Ice Cream Cakes By Baskin Robbins,Church Street,0,17
416,GLOBO Ice Creams Of The World,Shanti Nagar,0,3
417,Kapoor's Chaat Bhandaar,Rajajinagar,32,1500
418,San Tung Chinese,Malleshwaram,12,1973
419,Shawarma Grill House,Rajajinagar,1,57
420,Bombay Bitess,Rajajinagar,5,567
421,Veena Stores,Malleshwaram,33,23300
422,My Khana,Koramangala 7th Block,0,2544
423,Little Cafe,Basavanagudi,65,710
424,The Coorg Food Co.,Koramangala 6th Block,12,892
425,Sundae Everyday Ice Creams,Indiranagar,0,251
426,Ciro's Pizzeria,Indiranagar,0,105
427,Chinita Real Mexican Food,Indiranagar,2854,991
428,Mega Biryani,Koramangala 6th Block,0,6
429,The Kolkata Kati Roll,Indiranagar,0,4508
430,Trattoria By Toscano,Hosur Road,0,273
431,Om Meal And Paratha Junction,Domlur,0,233
432,Upahara Darshini,Basavanagudi,56,739
433,Sultan Dum Biryani,Indiranagar,0,184
434,Dofu,Indiranagar,658,922
435,Kerala Pavilion,Domlur,251,4183
436,Lucknowee,Koramangala 7th Block,0,165
437,Wack Waffles & Brownies,Koramangala 5th Block,0,76
438,Sri Udupi Vaibhav,Indiranagar,11,990
439,Express By ABs,Koramangala 5th Block,0,32
440,New York Waffles & Dinges,Koramangala 5th Block,0,53
441,Pizza@99,Basaveshwara Nagar,0,176
442,Grill Biryanis,Malleshwaram,0,1235
443,New Agarwal Bhavan,Sadashiv Nagar,5,1305
444,Savi Sagar,Malleshwaram,219,20100
445,Sagar Hotel,Rajajinagar,1123,9874
446,CTR Shri Sagar,Malleshwaram,4901,30300
447,New Shanthi Sagar,Rajajinagar,51,6674
448,Brahmins' Thatte Idli,Malleshwaram,3,2145
449,Hyderabad Biryani House,Malleshwaram,445,6202
450,D-Zaprino,Rajajinagar,0,1413
451,Sree Banashankari Donne Biriyani,Basaveshwara Nagar,289,23500
452,You Mee,Orion Mall,434,1570
453,Donne Biryani House,Malleshwaram,107,7281
454,Karnataka Biryani Point,Rajajinagar,33,2751
455,Karnataka Chicken Biryani Point,Basaveshwara Nagar,4,687
456,A1 Biryani Combo 75,Malleshwaram,0,916
457,Sabzi Aur Roti,Rajajinagar,0,1341
458,PVR Café,GT World Mall,0,8
459,Donne Biriyani House,Rajajinagar,74,721
460,Abubakar Siddiq Hotel,Malleshwaram,0,333
461,Donut Hubb,Rajajinagar,0,302
462,Go Naati,Rajajinagar,28,726
463,New Krishna Bhavan,Malleshwaram,699,1299
464,Magic Fill,Basavanagudi,0,144
465,Chicking,Rajajinagar,0,647
466,Kolkata Famous Kati Roll,Basaveshwara Nagar,24,2223
467,Bangarpet Chats,Rajajinagar,33,1835
468,La Heaven,Malleshwaram,142,2364
469,Lulu Hypermarket,Rajajinagar,18,1792
470,Donne Biryani Angadi Mane,Sadashiv Nagar,51,2963
471,Shawarma 21,Rajajinagar,10,986
472,Four Seasons Fast Food Center,Malleshwaram,105,12200
473,Malleshwaram Dosa Corner,Malleshwaram,6,22900
474,Gundappa Donne Biryani,Seshadripuram,222,2009
475,Copper + Cloves @ The Organic World,Indiranagar,15,212
476,Big Pitcher,Old Airport Road,12800,553
477,Pizza House,Frazer Town,2,13
478,FoodX Restaurant,Vasanth Nagar,1,103
479,Sagar Delicacy,Ulsoor,99,3837
480,Havmor Ice Cream,Basavanagudi,28,221
481,Gilly's Restobar,Bannerghatta Road,3337,68
482,DiabeSmart,Indiranagar,0,11
483,Nammur Joint,Jayanagar,0,77
484,Paratha Box by EatFit,Koramangala 6th Block,0,26
485,Shetty Lunch Home,Jayanagar,93,600
486,Ajji Ruchi Kitchen,Koramangala 8th Block,0,461
